system   D            wsystem.c:583  maybe_parent_dir                 [   0.00028] Also searching C:\Terraf0rm\Terraf0rm\Terraf0rm\
display  D   display_settings.c:357  _al_score_display_settings       [   0.01430] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01431] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01432] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01434] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01435] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01436] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01437] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01438] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01439] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01440] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01441] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01442] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01444] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01445] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01446] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01447] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01448] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01449] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01450] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01451] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01452] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01454] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01457] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01458] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01459] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01460] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01461] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01463] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01464] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01465] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01466] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01467] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01468] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01469] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01470] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01472] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01473] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01474] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01475] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01476] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01477] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01478] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01479] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01481] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01482] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01483] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01484] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01485] Score is : 897
display  D   display_settings.c:486  _al_score_display_settings       [   0.01486] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01487] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01488] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01489] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01490] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01491] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01492] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01493] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01494] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01495] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01496] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01497] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01499] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01500] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01501] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01502] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01503] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01504] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01505] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01506] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01507] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01508] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01509] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01510] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01511] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01512] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01513] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01514] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01516] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01517] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01518] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01519] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01520] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01521] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01522] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01523] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01524] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01525] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01526] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01527] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01528] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01529] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01530] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01531] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01532] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01533] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01535] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01536] Score is : 713
display  D   display_settings.c:486  _al_score_display_settings       [   0.01537] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01538] Score is : 737
display  D   display_settings.c:486  _al_score_display_settings       [   0.01539] Score is : 726
display  D   display_settings.c:486  _al_score_display_settings       [   0.01540] Score is : 721
display  D   display_settings.c:486  _al_score_display_settings       [   0.01541] Score is : 717
display  D   display_settings.c:486  _al_score_display_settings       [   0.01542] Score is : 715
display  D   display_settings.c:486  _al_score_display_settings       [   0.01543] Score is : 714
display  D   display_settings.c:486  _al_score_display_settings       [   0.01544] Score is : 713
display  D   display_settings.c:357  _al_score_display_settings       [   0.01545] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01546] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01547] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01549] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01550] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01551] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01552] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01553] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01554] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01555] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01556] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01557] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01559] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01560] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01561] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01562] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01563] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01564] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01565] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01566] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01567] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01569] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01571] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01572] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01573] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01574] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01575] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01576] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01577] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01578] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01579] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01581] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01582] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01583] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01584] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01585] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01586] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01587] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01589] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01590] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01591] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01592] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01593] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01594] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01595] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01596] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01597] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01599] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01600] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01601] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01602] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01603] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01604] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01605] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01606] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01607] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01609] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01610] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01611] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01612] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01613] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01614] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01615] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01616] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01617] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01618] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01621] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01623] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01624] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01625] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01626] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01627] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01628] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01629] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01630] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01631] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01632] Score is : 586
